numero;despacho;data
112014024899;9.1;2022-01-11
112014025166;9.2;2022-01-25
112014025222;9.2;2022-01-25
112014025527;9.1;2022-01-18
112014025580;9.1;2022-01-18
112014025789;9.1;2022-01-11
112014026040;9.1;2022-01-11
112014026569;9.2;2022-01-04
112014026626;9.2;2022-01-25
112014026952;9.1;2022-01-11
112014027067;9.1;2022-01-11
112014028224;9.2;2022-01-25
112014028838;9.2;2022-01-11
112014028943;9.1;2022-01-25
112014029095;9.2;2022-01-04
112014029454;9.1;2022-01-18
112014029477;9.2;2022-01-25
112014029709;9.1;2022-01-11
112014029800;9.1;2022-01-11
112014029975;11.2;2022-01-25
112014030611;9.1;2022-01-11
112014031215;9.1;2022-01-11
112014031520;9.2;2022-01-25
112014031676;9.2;2022-01-04
112014032343;9.2;2022-01-25
112014032681;9.1;2022-01-25
112014032894;9.1;2022-01-18
112014032927;9.1;2022-01-18
112015000299;9.2;2022-01-25
112015000884;9.1;2022-01-11
112015001120;9.1;2022-01-25
112015001157;9.1;2022-01-11
112015001404;9.1;2022-01-18
112015001658;9.1;2022-01-18
112015002432;9.2;2022-01-25
112015002858;9.1;2022-01-18
112015002871;9.1;2022-01-25
112015003486;9.1;2022-01-25
112015003626;9.1;2022-01-11
112015003749;9.1;2022-01-11
112015004029;9.1;2022-01-18
112015004590;9.1;2022-01-11
112015004911;9.1;2022-01-11
112015005184;9.1;2022-01-25
112015005383;9.1;2022-01-25
112015005604;9.1;2022-01-04
112015006011;9.1;2022-01-18
112015006322;9.1;2022-01-04
112015006425;11.2;2022-01-18
112015006508;9.1;2022-01-04
112015006848;9.2;2022-01-11
112015007281;9.1;2022-01-25
112015007304;9.1;2022-01-04
112015007506;9.1;2022-01-18
112015007549;9.1;2022-01-18
112015007725;9.1;2022-01-04
112015007836;9.1;2022-01-04
112015008063;9.2;2022-01-18
112015008130;9.2;2022-01-25
112015008158;9.1;2022-01-25
112015008423;9.1;2022-01-04
112015008844;9.1;2022-01-04
112015009109;9.1;2022-01-04
112015009261;9.1;2022-01-04
112015009391;9.1;2022-01-18
112015009957;9.1;2022-01-04
112015010194;9.1;2022-01-04
112015010397;9.1;2022-01-11
112015010626;9.1;2022-01-04
112015011407;9.1;2022-01-04
112015011572;9.1;2022-01-04
112015012961;9.2;2022-01-25
112015013564;9.1;2022-01-04
112015014344;9.1;2022-01-25
112015014473;9.2;2022-01-18
112015014619;9.2;2022-01-18
112015014643;9.1;2022-01-25
112015014859;9.1;2022-01-04
112015014869;11.2;2022-01-18
112015014919;9.1;2022-01-25
112015015177;9.1;2022-01-18
112015016028;9.2;2022-01-04
112015016147;9.1;2022-01-25
112015016240;9.1;2022-01-11
112015016434;9.1;2022-01-18
112015016911;9.1;2022-01-11
112015017064;9.1;2022-01-11
112015017146;9.1;2022-01-04
112015017163;9.1;2022-01-18
112015017386;9.1;2022-01-11
112015017490;9.2;2022-01-18
112015018102;9.1;2022-01-18
112015018360;9.1;2022-01-18
112015018466;9.1;2022-01-11
112015018923;9.1;2022-01-25
112015019149;9.1;2022-01-04
112015019167;9.1;2022-01-18
112015019826;9.1;2022-01-25
112015020337;9.1;2022-01-11
112015021567;9.1;2022-01-25
112015021668;9.1;2022-01-11
112015021983;9.1;2022-01-11
112015022113;9.1;2022-01-11
112015022558;11.2;2022-01-18
112015022799;9.1;2022-01-18
112015022824;9.1;2022-01-25
112015023040;9.1;2022-01-25
112015023053;9.1;2022-01-11
112015023113;9.1;2022-01-04
112015023151;9.2;2022-01-11
112015023235;9.1;2022-01-11
112015023325;9.1;2022-01-11
112015023579;9.1;2022-01-25
112015023613;9.1;2022-01-11
112015023623;9.2;2022-01-25
112015023715;9.1;2022-01-25
112015024019;9.1;2022-01-11
112015024037;9.1;2022-01-11
112015024735;9.1;2022-01-25
112015024961;9.1;2022-01-11
112015025076;11.2;2022-01-18
112015025337;9.1;2022-01-18
112015026175;9.1;2022-01-25
112015026199;9.1;2022-01-11
112015026242;9.1;2022-01-25
112015026252;9.1;2022-01-11
112015026455;9.1;2022-01-18
112015026626;9.1;2022-01-11
112015026961;9.1;2022-01-25
112015027281;9.1;2022-01-04
112015027288;9.1;2022-01-04
112015027412;9.1;2022-01-18
112015027613;9.2;2022-01-25
112015028337;9.1;2022-01-11
112015028502;9.1;2022-01-11
112015028705;9.1;2022-01-04
112015028783;9.2;2022-01-18
112015029571;9.1;2022-01-18
112015029675;9.1;2022-01-11
112015029923;9.1;2022-01-11
112015029986;9.1;2022-01-04
112015029990;9.1;2022-01-25
112015030000;9.2;2022-01-04
112015030059;9.2;2022-01-18
112015030092;9.1;2022-01-04
112015030215;9.1;2022-01-11
112015030587;9.1;2022-01-11
112015030608;9.1;2022-01-04
112015031070;9.1;2022-01-04
112015031154;9.1;2022-01-18
112015031178;9.1;2022-01-11
112015031180;9.1;2022-01-11
112015031939;9.1;2022-01-11
112015032037;9.1;2022-01-04
112015032057;9.1;2022-01-11
112015032139;9.1;2022-01-11
112015032445;9.1;2022-01-11
112015032452;9.1;2022-01-04
112015032571;9.1;2022-01-11
